Diff,Num,Title,Author,Pages,Series/Notes,Cycle,Anticipated Start Date,Completion Date,Rating,Number of Days,Pg/Day
5,187,A Midsummer Night'S Dream,Shakespeare,256,,Drama / Theatre,02/16/43,,,14,18
0,188,Endgame Manual,Dvoretsky,504,12 months,Chess,03/02/43,,,0,33
4,189,The Disposessed,Le Guin,387,,Speculative SF,03/02/43,,,18,21
4,190,Devil House,Darnielle,403,,Contemporary / Realist / Satirical Fiction,03/20/43,,,19,21
8,191,Anna Karenina,Tolstoy,864,,High Literary / Modernist Core,04/08/43,,,96,9
7,192,Remainder,Mccarthy,308,,Experimental / Postmodern / Metafiction,07/13/43,,,25,12
10,193,The Logical Syntax Of Language,Carnap,333,,Philosophy / Theory / Nonfiction,08/07/43,,,111,3
10,194,Meaning And Necessity,Carnap,204,,Philosophy / Theory / Nonfiction,11/26/43,,,68,3
4,195,Perehillion Summer,Egan,224,,Hard SF,02/02/44,,,10,21
7,196,Madame Bovary,Flaubert,329,,High Literary / Modernist Core,02/12/44,,,27,12
0,197,"My Great Predecessors, Part V",Kasparov,480,12 months,Chess,03/10/44,,,0,33
5,198,Inferno,Strindberg,200,,Drama / Theatre,03/10/44,,,11,18
5,199,The Night Face Up,Cortazar,30,,High Literary / Modernist Core,03/21/44,,,1,18
6,200,Nightside The Long Sun,Wolfe,304,the book of the long sun series,Speculative SF,03/22/44,,,20,15
6,201,Lake Of The Long Sun,Wolfe,352,,Speculative SF,04/11/44,,,23,15
6,202,Calde Of The Long Sun,Wolfe,409,,Speculative SF,05/04/44,,,27,15
6,203,Exodus From The Long Sun,Wolfe,416,,Speculative SF,05/31/44,,,27,15
3,204,Songs of a Dead Dreamer and Grimscribe,Ligotti,462,,Weird / Horror / Dark Speculative,06/27/44,,,19,24
7,205,Invisible Man,Ellison,581,,Contemporary / Realist / Satirical Fiction,07/16/44,,,48,12
4,206,Bad Voltage,Littell,309,,Contemporary / Realist / Satirical Fiction,09/02/44,,,14,21
7,207,The Unfortunates,Johnson,176,,Experimental / Postmodern / Metafiction,09/16/44,,,14,12
10,208,Word And Object,Van Orman Quine,276,,Philosophy / Theory / Nonfiction,09/30/44,,,92,3
